snapshot_date;snapshot_year;snapshot_month;type;brand;model;fipe_version;fipe_code;manufacture_year;model_year;offer_price;fipe_price;premium_vs_fipe_price;fipe_code_model_year;model_model_year
2025-08-25;2025;8;sedan;hyundai;hb20s;HB20S Comfort Plus 1.0 TB Flex 12V Aut;015240-4;2023;2024;88490;88433.0;0.0006445557653817014;015240-4_2024;hb20s_2024
2025-08-25;2025;8;suv;jeep;renegade;Renegade Long. T270 1.3 TB 4x2 Flex Aut.;017088-7;2023;2024;112990;135244.0;-0.16454704090384786;017088-7_2024;renegade_2024
2025-08-25;2025;8;hatch;fiat;argo;ARGO DRIVE 1.0 6V Flex;001494-0;2023;2024;69990;76258.0;-0.08219465498701775;001494-0_2024;argo_2024
2025-08-25;2025;8;hatch;fiat;argo;ARGO DRIVE 1.0 6V Flex;001494-0;2023;2024;69990;76258.0;-0.08219465498701775;001494-0_2024;argo_2024
2025-08-25;2025;8;sedan;hyundai;hb20s;HB20S Comfort Plus 1.0 TB Flex 12V Aut;015240-4;2023;2024;88490;103995.0;-0.14909370642819367;015240-4_2024;hb20s_2024
2025-08-25;2025;8;suv;volkswagen;nivus;Nivus Highline 1.0 200 TSI Flex Aut.;005526-3;2023;2024;116990;129885.0;-0.09928013242483735;005526-3_2024;nivus_2024
2025-08-25;2025;8;hatch;fiat;argo;ARGO DRIVE 1.0 6V Flex;001494-0;2023;2024;69990;74897.0;-0.06551664285618916;001494-0_2024;argo_2024
2025-08-25;2025;8;hatch;fiat;mobi;MOBI LIKE 1.0 Fire Flex 5p.;001461-3;2023;2024;56990;62589.0;-0.08945661378197446;001461-3_2024;mobi_2024
2025-08-25;2025;8;sedan;hyundai;hb20s;HB20S Comfort Plus 1.0 TB Flex 12V Aut;015240-4;2023;2024;88490;102277.0;-0.13480059055310578;015240-4_2024;hb20s_2024
2025-08-25;2025;8;pickup/vans;fiat;strada;Strada Endurance 1.3 Flex 8V CS Plus;001569-5;2023;2024;80990;89907.0;-0.0991802640506301;001569-5_2024;strada_2024
2025-08-25;2025;8;hatch;fiat;argo;ARGO DRIVE 1.0 6V Flex;001494-0;2023;2024;69990;77327.0;-0.09488277057172785;001494-0_2024;argo_2024
2025-08-25;2025;8;suv;chevrolet;tracker;TRACKER LT 1.0 Turbo 12V Flex Aut.;004522-5;2023;2024;104990;120531.0;-0.12893778364072314;004522-5_2024;tracker_2024
2025-08-25;2025;8;hatch;hyundai;hb20;HB20 Comfort Plus 1.0 Flex 12V Mec.;015245-5;2023;2024;72990;78458.0;-0.06969333911137168;015245-5_2024;hb20_2024
2025-08-25;2025;8;sedan;hyundai;hb20s;HB20S Comfort Plus 1.0 TB Flex 12V Aut;015240-4;2023;2024;88490;100336.0;-0.11806330728751395;015240-4_2024;hb20s_2024
2025-08-25;2025;8;hatch;volkswagen;polo;Polo 1.0 MPI Flex 12V 5p;005533-6;2023;2024;72990;80332.0;-0.0913957078125778;005533-6_2024;polo_2024
2025-08-25;2025;8;hatch;hyundai;hb20;HB20 Comfort Plus 1.0 Flex 12V Mec.;015245-5;2023;2024;72990;79950.0;-0.08705440900562852;015245-5_2024;hb20_2024
2025-08-25;2025;8;suv;volkswagen;t-cross;T-Cross Comfor. 200 TSI 1.0 Flex 5p Aut.;005509-3;2023;2024;117990;137187.0;-0.13993308403857507;005509-3_2024;t-cross_2024
2025-08-25;2025;8;utilitario;fiat;fiorino;Fiorino Endurance EVO 1.4 Flex 8V 2p;001531-8;2023;2024;91490;99407.0;-0.0796422787127667;001531-8_2024;fiorino_2024
2025-08-25;2025;8;suv;volkswagen;nivus;Nivus Highline 1.0 200 TSI Flex Aut.;005526-3;2023;2024;116990;129885.0;-0.09928013242483735;005526-3_2024;nivus_2024
2025-08-25;2025;8;suv;jeep;renegade;Renegade Long. T270 1.3 TB 4x2 Flex Aut.;017088-7;2023;2024;112990;138576.0;-0.1846351460570373;017088-7_2024;renegade_2024
2025-08-25;2025;8;suv;volkswagen;t-cross;T-Cross Comfor. 200 TSI 1.0 Flex 5p Aut.;005509-3;2023;2024;117990;135489.0;-0.12915439629785444;005509-3_2024;t-cross_2024
